"id","date","year","category","description","created_at","updated_at"
"225","2026-12-25","2026","Libur","Natal","2026-01-19 14:43:36","2026-01-19 14:44:22"
"224","2026-08-25","2026","Libur","Maulid Nabi","2026-01-19 14:42:56","2026-01-19 14:44:22"
"223","2026-08-17","2026","Libur","HUT RI","2026-01-19 14:42:38","2026-01-19 14:44:22"
"222","2026-06-17","2026","Libur","Tahun Baru Islam","2026-01-19 14:42:14","2026-01-19 14:44:22"
"221","2026-06-01","2026","Libur","Hari Lahir Pancasila","2026-01-19 14:41:56","2026-01-19 14:44:22"
"220","2026-05-31","2026","Libur","Hari Raya Waisak","2026-01-19 14:41:26","2026-01-19 14:44:22"
"219","2026-05-27","2026","Libur","Hari Raya Idul Adha","2026-01-19 14:41:08","2026-01-19 14:44:22"
"218","2026-05-14","2026","Libur","Kenaikan Yesus Kristus.","2026-01-19 14:40:51","2026-01-19 14:44:22"
"217","2026-05-01","2026","Libur","hari buruh","2026-01-06 08:05:43","2026-01-19 14:44:22"
"216","2026-04-03","2026","Libur","jumat agung","2026-01-06 08:05:18","2026-01-19 14:44:22"
"215","2026-03-21","2026","Libur","CutBer Idulfitri","2026-01-06 08:04:57","2026-01-19 14:44:22"
"226","2026-03-20","2026","Libur","idulfitri","2026-01-19 14:44:22","2026-01-19 14:44:22"
"213","2026-03-19","2026","Libur","nyepi","2026-01-06 08:04:05","2026-01-19 14:44:22"
"212","2026-02-17","2026","Libur","imlek","2026-01-06 08:00:54","2026-01-19 14:44:22"
"211","2026-01-16","2026","Libur","isra miraj","2026-01-06 08:00:36","2026-01-19 14:44:22"
"210","2026-01-01","2026","Libur","Libur tahun baru","2026-01-06 07:59:57","2026-01-19 14:44:22"
"209","2025-12-26","2025","Libur","Cutber Natal","2025-12-19 09:05:45","2026-01-19 14:44:22"
"208","2025-12-25","2025","Libur","Natal","2025-12-03 08:57:52","2026-01-19 14:44:22"
"207","2025-09-05","2025","Libur","Maulid Nabi Muhammad SAW","2025-09-02 07:41:07","2026-01-19 14:44:22"
"206","2025-08-18","2025","Libur","CutBer 17an","2025-08-25 10:50:15","2026-01-19 14:44:22"
"205","2025-06-27","2025","Libur","Tahun Baru Hijriah","2025-06-30 13:21:23","2026-01-19 14:44:22"
"204","2025-06-09","2025","Libur","Cuti Bersama Idul Adha","2025-06-02 09:48:01","2026-01-19 14:44:22"
"203","2025-06-06","2025","Libur","Hari Raya Idul Adha","2025-06-02 09:47:46","2026-01-19 14:44:22"
"202","2025-05-30","2025","Libur","Cuti Bersama","2025-06-02 09:36:01","2026-01-19 14:44:22"
"198","2025-05-29","2025","Libur","Kenaikan Yesus Kristus.","2025-05-14 15:11:21","2026-01-19 14:44:22"
