"id","date","unit_id","status","remark","created_at","updated_at","user","ip_address","queue","sub_unit_id","status_kepegawaian"
"0_2025-12-01","2025-12-01","0","open",NULL,"2026-02-19 07:18:19","2026-02-19 07:18:19","Administrator","10.1.9.10","0",NULL,NULL
"0_2026-01-01","2026-01-01","0","open",NULL,"2026-02-19 07:17:53","2026-02-19 07:17:53","Administrator","10.1.9.10","0",NULL,NULL
"0_2026-02-01","2026-02-01","0","open",NULL,"2026-02-19 06:47:19","2026-02-19 06:47:19","Administrator","10.1.9.10","0",NULL,NULL
"0_2025-11-01","2025-11-01","0","open",NULL,"2026-02-19 07:22:31","2026-02-19 07:22:31","Administrator","10.1.9.10","0",NULL,NULL
"1_2025-11-01","2025-11-01","1","open",NULL,"2026-02-19 07:22:31","2026-02-19 07:22:31","Administrator","10.1.9.10","0",NULL,NULL
"1_2025-12-01","2025-12-01","1","open",NULL,"2026-02-19 07:18:19","2026-02-19 07:18:19","Administrator","10.1.9.10","0",NULL,NULL
"1_2026-01-01","2026-01-01","1","open",NULL,"2026-02-19 07:17:53","2026-02-19 07:17:53","Administrator","10.1.9.10","0",NULL,NULL
"1_2026-02-01","2026-02-01","1","open",NULL,"2026-02-19 06:47:19","2026-02-19 06:47:19","Administrator","10.1.9.10","0",NULL,NULL
"2_2025-11-01","2025-11-01","2","open",NULL,"2026-02-19 07:22:31","2026-02-19 07:22:31","Administrator","10.1.9.10","0",NULL,NULL
"2_2025-12-01","2025-12-01","2","open",NULL,"2026-02-19 07:18:19","2026-02-19 07:18:19","Administrator","10.1.9.10","0",NULL,NULL
"2_2026-01-01","2026-01-01","2","open",NULL,"2026-02-19 07:17:53","2026-02-19 07:17:53","Administrator","10.1.9.10","0",NULL,NULL
"2_2026-02-01","2026-02-01","2","open",NULL,"2026-02-19 06:47:19","2026-02-19 06:47:19","Administrator","10.1.9.10","0",NULL,NULL
"3_2025-11-01","2025-11-01","3","open",NULL,"2026-02-19 07:22:31","2026-02-19 07:22:31","Administrator","10.1.9.10","0",NULL,NULL
"3_2026-02-01","2026-02-01","3","open",NULL,"2026-02-19 06:47:19","2026-02-19 06:47:19","Administrator","10.1.9.10","0",NULL,NULL
"3_2026-01-01","2026-01-01","3","open",NULL,"2026-02-19 07:17:53","2026-02-19 07:17:53","Administrator","10.1.9.10","0",NULL,NULL
"3_2025-12-01","2025-12-01","3","open",NULL,"2026-02-19 07:18:19","2026-02-19 07:18:19","Administrator","10.1.9.10","0",NULL,NULL
"4_2025-11-01","2025-11-01","4","open",NULL,"2026-02-19 07:22:31","2026-02-19 07:22:31","Administrator","10.1.9.10","0",NULL,NULL
"4_2025-12-01","2025-12-01","4","open",NULL,"2026-02-19 07:18:19","2026-02-19 07:18:19","Administrator","10.1.9.10","0",NULL,NULL
"4_2026-01-01","2026-01-01","4","open",NULL,"2026-02-19 07:17:53","2026-02-19 07:17:53","Administrator","10.1.9.10","0",NULL,NULL
"4_2026-02-01","2026-02-01","4","open",NULL,"2026-02-19 06:47:19","2026-02-19 06:47:19","Administrator","10.1.9.10","0",NULL,NULL
"5_2025-11-01","2025-11-01","5","open",NULL,"2026-02-19 07:22:31","2026-02-19 07:22:31","Administrator","10.1.9.10","0",NULL,NULL
"5_2025-12-01","2025-12-01","5","open",NULL,"2026-02-19 07:18:19","2026-02-19 07:18:19","Administrator","10.1.9.10","0",NULL,NULL
"5_2026-01-01","2026-01-01","5","open",NULL,"2026-02-19 07:17:53","2026-02-19 07:17:53","Administrator","10.1.9.10","0",NULL,NULL
"5_2026-02-01","2026-02-01","5","open",NULL,"2026-02-19 06:47:19","2026-02-19 06:47:19","Administrator","10.1.9.10","0",NULL,NULL
"6_2025-11-01","2025-11-01","6","open",NULL,"2026-02-19 07:22:31","2026-02-19 07:22:31","Administrator","10.1.9.10","0",NULL,NULL
