"id","unit","created_at","updated_at"
"0","Pemerintah Daerah Kota Pekanbaru","2026-01-31 15:05:15","2026-02-03 04:06:50"
"1","Sekretariat Daerah","2026-01-31 15:05:15","2026-01-31 15:05:15"
"2","Sekretariat DPRD","2026-01-31 15:05:15","2026-01-31 15:05:15"
"3","Badan Kepegawaian dan Pengembangan SDM","2026-01-31 15:05:15","2026-01-31 15:05:15"
"4","Badan Perencanaan dan Pembangunan Daerah ","2026-01-31 15:05:15","2026-01-31 15:05:15"
"5","Badan Penelitian dan Pengembangan","2026-01-31 15:05:15","2026-01-31 15:05:15"
"6","Badan Pengelola Keuangan dan  Aset Daerah","2026-01-31 15:05:15","2026-01-31 15:05:15"
"7","Badan Pendapatan Daerah","2026-01-31 15:05:15","2026-01-31 15:05:15"
"8","Badan Kesatuan Bangsa dan Politik","2026-01-31 15:05:15","2026-01-31 15:05:15"
"9","Dinas Pendidikan","2026-01-31 15:05:15","2026-01-31 15:05:15"
"10","Dinas  Kesehatan","2026-01-31 15:05:15","2026-01-31 15:05:15"
"11","Dinas Pekerjaan Umum dan Penataan Ruang","2026-01-31 15:05:15","2026-01-31 15:05:15"
"13","Dinas Perumahan Rakyat dan Kawasan Permukiman","2026-01-31 15:05:15","2026-01-31 15:05:15"
"14","Dinas Sosial","2026-01-31 15:05:15","2026-01-31 15:05:15"
"15","Dinas Pemadam Kebakaran dan Penyelamatan","2026-01-31 15:05:15","2026-01-31 15:05:15"
"16","Dinas Tenaga Kerja","2026-01-31 15:05:15","2026-01-31 15:05:15"
"17","Dinas Pemberdayaan Perempuan dan Perlindungan Anak","2026-01-31 15:05:15","2026-01-31 15:05:15"
"18","Dinas Ketahanan Pangan","2026-01-31 15:05:15","2026-01-31 15:05:15"
"19","Dinas Pertanahan","2026-01-31 15:05:15","2026-01-31 15:05:15"
"20","Dinas Lingkungan Hidup dan Kebersihan","2026-01-31 15:05:15","2026-01-31 15:05:15"
"21","Dinas Kependudukan dan Pencatatan Sipil","2026-01-31 15:05:15","2026-01-31 15:05:15"
"22","Dinas Pengendalian Penduduk dan Keluarga Berencana","2026-01-31 15:05:15","2026-01-31 15:05:15"
"23","Dinas Perhubungan","2026-01-31 15:05:15","2026-01-31 15:05:15"
"24","Dinas Komunikasi, Informatika, Statistik Dan Persandian","2026-01-31 15:05:15","2026-01-31 15:05:15"
"25","Dinas Koperasi , Usaha Kecil, Dan Menengah","2026-01-31 15:05:15","2026-01-31 15:05:15"
