"id","unit_id","hari","start_date","end_date","jam_masuk","jam_pulang","batas_in","batas_out","created_at","updated_at","toleransi_telat_menit","toleransi_pulang_cepat_menit","penalti_tidak_tap_in","penalti_tidak_tap_out"
"1","24","1",NULL,NULL,"08:00:00","16:00:00","12:00:00","13:00:00","2026-02-06 11:22:02","2026-02-06 11:22:02",NULL,NULL,"240","180"
"2","24","2",NULL,NULL,"08:00:00","16:00:00","12:00:00","13:00:00","2026-02-06 11:22:02","2026-02-06 11:22:02",NULL,NULL,"240","180"
"3","24","3",NULL,NULL,"08:00:00","16:00:00","12:00:00","13:00:00","2026-02-06 11:22:02","2026-02-06 11:22:02",NULL,NULL,"240","180"
"4","24","4",NULL,NULL,"08:00:00","16:30:00","12:00:00","13:00:00","2026-02-06 11:22:02","2026-02-06 11:22:02",NULL,NULL,"240","180"
"5","24","5",NULL,NULL,"08:00:00","16:30:00","12:00:00","13:00:00","2026-02-06 11:22:02","2026-02-06 11:22:02",NULL,NULL,"240","180"
"7","24","1","2026-02-18","2026-03-17","09:00:00","15:00:00","12:00:00","13:00:00","2026-02-06 11:33:57","2026-02-06 11:33:57",NULL,NULL,"240","180"
"8","24","2","2026-02-18","2026-03-17","09:00:00","15:00:00","12:00:00","13:00:00","2026-02-06 11:33:57","2026-02-06 11:33:57",NULL,NULL,"240","180"
"9","24","3","2026-02-18","2026-03-17","09:00:00","15:00:00","12:00:00","13:00:00","2026-02-06 11:33:57","2026-02-06 11:33:57",NULL,NULL,"240","180"
"10","24","4","2026-02-18","2026-03-17","09:00:00","15:30:00","12:00:00","13:00:00","2026-02-06 11:33:57","2026-02-06 11:33:57",NULL,NULL,"240","180"
"11","24","5","2026-02-18","2026-03-17","09:00:00","15:30:00","12:00:00","13:00:00","2026-02-06 11:33:57","2026-02-06 11:33:57",NULL,NULL,"240","180"
